s1:

+---------------------+--------+----+
| time                | player | ip |
| 2016-08-18 16:49:52 |     26 | 35 |
| 2016-08-18 16:54:52 |     26 | 35 |
| 2016-08-18 16:59:53 |     23 | 33 |
| 2016-08-18 17:04:53 |     21 | 31 |
| 2016-08-18 17:09:53 |     20 | 30 |
| 2016-08-18 17:14:54 |     16 | 27 |
| 2016-08-18 17:19:54 |     16 | 27 |
| 2016-08-18 17:24:54 |     15 | 26 |
| 2016-08-18 17:29:54 |     17 | 28 |
| 2016-08-18 17:34:55 |     17 | 28 |
| 2016-08-18 17:39:55 |     16 | 26 |
| 2016-08-18 17:44:55 |     17 | 27 |
| 2016-08-18 17:49:56 |     17 | 27 |
| 2016-08-18 17:54:56 |     17 | 27 |
| 2016-08-18 17:59:56 |     16 | 26 |
| 2016-08-18 18:04:57 |     17 | 26 |
| 2016-08-18 18:09:57 |     18 | 27 |
| 2016-08-18 18:14:57 |     16 | 26 |
| 2016-08-18 18:19:57 |     18 | 27 |
| 2016-08-18 18:24:58 |     17 | 26 |
| 2016-08-18 18:29:58 |     18 | 26 |
| 2016-08-18 18:34:58 |     18 | 26 |
| 2016-08-18 18:39:59 |     17 | 25 |
| 2016-08-18 18:44:59 |     16 | 23 |
| 2016-08-18 18:49:59 |     16 | 24 |
| 2016-08-18 18:55:00 |     18 | 27 |
| 2016-08-18 19:00:00 |     20 | 29 |
| 2016-08-18 19:05:00 |     20 | 29 |
| 2016-08-18 19:10:00 |     21 | 30 |
| 2016-08-18 19:15:01 |     23 | 32 |
| 2016-08-18 19:20:01 |     27 | 36 |
| 2016-08-18 19:25:01 |     26 | 35 |
| 2016-08-18 19:30:02 |     27 | 36 |
| 2016-08-18 19:35:02 |     27 | 35 |
| 2016-08-18 19:40:02 |     27 | 36 |
| 2016-08-18 19:45:03 |     24 | 33 |
| 2016-08-18 19:50:03 |     23 | 32 |
| 2016-08-18 19:55:03 |     21 | 30 |
| 2016-08-18 20:00:04 |     24 | 33 |
| 2016-08-18 20:05:04 |     22 | 31 |
| 2016-08-18 20:10:04 |     23 | 32 |
| 2016-08-18 20:15:04 |     23 | 32 |
| 2016-08-18 20:20:05 |     23 | 32 |
| 2016-08-18 20:25:05 |     24 | 33 |
| 2016-08-18 20:30:05 |     23 | 31 |
| 2016-08-18 20:35:06 |     23 | 32 |
| 2016-08-18 20:40:06 |     24 | 33 |
| 2016-08-18 20:45:06 |     23 | 32 |
| 2016-08-18 20:50:07 |     22 | 31 |
| 2016-08-18 20:55:07 |     22 | 31 |
| 2016-08-18 21:00:07 |     23 | 32 |
| 2016-08-18 21:05:07 |     23 | 32 |
| 2016-08-18 21:10:08 |     24 | 33 |
| 2016-08-18 21:15:08 |     21 | 30 |
| 2016-08-18 21:20:08 |     22 | 30 |
| 2016-08-18 21:25:09 |     20 | 29 |
| 2016-08-18 21:30:09 |     19 | 28 |
| 2016-08-18 21:35:09 |     18 | 26 |
| 2016-08-18 21:40:10 |     19 | 27 |
| 2016-08-18 21:45:10 |     21 | 30 |
| 2016-08-18 21:50:10 |     19 | 28 |
| 2016-08-18 21:55:10 |     19 | 28 |
| 2016-08-18 22:00:11 |     19 | 28 |
| 2016-08-18 22:05:11 |     17 | 26 |
| 2016-08-18 22:10:11 |     17 | 26 |
| 2016-08-18 22:15:12 |     16 | 25 |
| 2016-08-18 22:20:12 |     16 | 25 |
| 2016-08-18 22:25:12 |     14 | 24 |
| 2016-08-18 22:30:13 |     15 | 24 |
| 2016-08-18 22:35:13 |     16 | 26 |
| 2016-08-18 22:40:13 |     14 | 24 |
| 2016-08-18 22:45:13 |     14 | 23 |
| 2016-08-18 22:50:14 |     13 | 23 |
| 2016-08-18 22:55:14 |     11 | 22 |
| 2016-08-18 23:00:14 |     11 | 22 |
| 2016-08-18 23:05:15 |     10 | 21 |
| 2016-08-18 23:10:15 |     10 | 21 |
| 2016-08-18 23:15:15 |      9 | 20 |
| 2016-08-18 23:20:16 |     12 | 23 |
| 2016-08-18 23:25:16 |     11 | 22 |
| 2016-08-18 23:30:16 |      9 | 20 |
| 2016-08-18 23:35:16 |      9 | 20 |
| 2016-08-18 23:40:17 |      9 | 21 |
| 2016-08-18 23:45:17 |      7 | 19 |
| 2016-08-18 23:50:17 |      6 | 18 |
| 2016-08-18 23:55:18 |      6 | 18 |
| 2016-08-19 00:00:18 |      3 | 15 |
| 2016-08-19 00:05:18 |      9 | 21 |
| 2016-08-19 00:10:19 |      9 | 21 |
| 2016-08-19 00:15:19 |      9 | 21 |
| 2016-08-19 00:20:19 |      9 | 21 |
| 2016-08-19 00:25:19 |      9 | 21 |
| 2016-08-19 00:30:20 |     10 | 21 |
| 2016-08-19 00:35:20 |      9 | 21 |
| 2016-08-19 00:40:20 |      9 | 21 |
| 2016-08-19 00:45:21 |     10 | 22 |
| 2016-08-19 00:50:21 |     10 | 22 |
| 2016-08-19 00:55:21 |     10 | 22 |
| 2016-08-19 01:00:22 |     10 | 22 |
| 2016-08-19 01:05:22 |      9 | 21 |
| 2016-08-19 01:10:22 |      9 | 21 |
| 2016-08-19 01:15:22 |      7 | 19 |
| 2016-08-19 01:20:23 |      7 | 19 |
| 2016-08-19 01:25:23 |      7 | 19 |
| 2016-08-19 01:30:23 |      7 | 19 |
| 2016-08-19 01:35:24 |      6 | 18 |
| 2016-08-19 01:40:24 |      5 | 17 |
| 2016-08-19 01:45:24 |      5 | 17 |
| 2016-08-19 01:50:25 |      5 | 17 |
| 2016-08-19 01:55:25 |      5 | 17 |
| 2016-08-19 02:00:25 |      5 | 17 |
| 2016-08-19 02:05:25 |      5 | 17 |
| 2016-08-19 02:10:26 |      5 | 17 |
| 2016-08-19 02:15:26 |      5 | 17 |
| 2016-08-19 02:20:26 |      5 | 17 |
| 2016-08-19 02:25:27 |      5 | 17 |
| 2016-08-19 02:30:27 |      5 | 17 |
| 2016-08-19 02:35:27 |      4 | 16 |
| 2016-08-19 02:40:28 |      3 | 15 |
| 2016-08-19 02:45:28 |      3 | 15 |
| 2016-08-19 02:50:28 |      3 | 15 |
| 2016-08-19 02:55:28 |      3 | 15 |
| 2016-08-19 03:00:29 |      3 | 15 |
| 2016-08-19 03:05:29 |      3 | 15 |
| 2016-08-19 03:10:29 |      3 | 15 |
| 2016-08-19 03:15:30 |      3 | 15 |
| 2016-08-19 03:20:30 |      3 | 15 |
| 2016-08-19 03:25:30 |      3 | 15 |
| 2016-08-19 03:30:31 |      3 | 15 |
| 2016-08-19 03:35:31 |      3 | 15 |
| 2016-08-19 03:40:31 |      2 | 14 |
| 2016-08-19 03:45:31 |      2 | 14 |
| 2016-08-19 03:50:32 |      2 | 14 |
| 2016-08-19 03:55:32 |      2 | 14 |
| 2016-08-19 04:00:32 |      2 | 14 |
| 2016-08-19 04:05:33 |      2 | 14 |
| 2016-08-19 04:10:33 |      2 | 14 |
| 2016-08-19 04:15:33 |      2 | 14 |
